File,Human_Lexical_Density,Model,LLM_Lexical_Density
DEL3682_RecruitmentFlyer_02.txt,0.5950920245398773,claude3.5,0.6072607260726073
DEL3682_RecruitmentFlyer_02.txt,0.5950920245398773,gemini2.0,0.5928338762214984
DEL3682_RecruitmentFlyer_02.txt,0.5950920245398773,gpt4o,0.56797583081571
DEL3783_GWG_TransformingLivesBrochure.txt,0.47174447174447176,claude3.5,0.48289473684210527
DEL3783_GWG_TransformingLivesBrochure.txt,0.47174447174447176,gemini2.0,0.47496947496947495
DEL3783_GWG_TransformingLivesBrochure.txt,0.47174447174447176,gpt4o,0.4880201765447667
Girls Who Game Sister Clubs.txt,0.5782493368700266,claude3.5,0.5892351274787535
Girls Who Game Sister Clubs.txt,0.5782493368700266,gemini2.0,0.5648648648648649
Girls Who Game Sister Clubs.txt,0.5782493368700266,gpt4o,0.5466666666666666
GWG Mentor Program FA23.txt,0.6312849162011173,claude3.5,0.6128133704735376
GWG Mentor Program FA23.txt,0.6312849162011173,gemini2.0,0.5880758807588076
GWG Mentor Program FA23.txt,0.6312849162011173,gpt4o,0.6102150537634409
